"date","lat","lon","id","Size","BellColor","VesicleSize","VesicleColor","VesicleShape","nearest_logger_id","nearest_logger_dist"
2020-12-13,25.01484167,-80.528625,66573401,"medium","blue","n/a","n/a","n/a",8,26246.6992095932
2020-08-30,24.56303833,-81.75417167,67032427,"medium","blue","n/a","n/a","n/a",2,67573.1951181899
2020-12-30,25.07845283,-80.45112,67310469,"large","n/a","small","brown","round",8,16017.2643850058
2020-12-23,24.581195,-81.64156333,67552122,"medium","blue","medium","blue","round",7,17196.8514486756
2021-01-17,25.1124859,-80.4150455,68227701,"large","brown","small","blue","round",8,10998.8716834059
2021-01-16,24.57180834,-81.732155,68230101,"medium","brown","n/a","n/a","n/a",7,8036.97971520308
2014-12-24,20.4059942,-87.3064453,68655759,"large","brown","medium","blue","slender",1,846473.65843821
2021-01-31,24.56316308,-81.75406067,68961832,"large","brown","medium","blue","slender",7,5641.93764407949
2007-04-20,24.628633,-82.873169,69307395,"large","n/a","small","brown","slender",9,203111.591012089
2019-12-10,24.82327637,-80.81273584,69324770,"medium","blue","n/a","n/a","n/a",1,33220.3619924539
2019-12-08,25.11191006,-80.41475792,69324779,"large","n/a","small","white","round",8,11046.6331226877
2019-12-08,25.11192439,-80.41470447,69324783,"small","brown","small","blue","slender",8,11043.0774553425
2019-12-08,25.11192613,-80.41473947,69324785,"medium","brown","medium","blue","slender",8,11044.2638064427
2021-02-10,24.56048667,-81.76370333,69377225,"large","brown","n/a","n/a","n/a",7,4622.75558155293
2021-02-12,24.84256667,-80.79328833,69473482,"medium","blue","n/a","n/a","n/a",1,31271.8614362628
2020-06-27,25.080375,-80.46028,69484451,"large","blue","medium","blue","round",8,16314.4456544166
2020-01-30,25.11658,-80.40612167,69485953,"medium","brown","n/a","n/a","n/a",8,10247.9590584769
2021-02-20,24.5632649,-81.72960552,69865559,"small","brown","small","blue","round",7,8067.82061329758
2021-01-09,24.65659462,-81.3019523,69945625,"small","brown","medium","blue","slender",2,20676.4518003495
2021-02-28,24.70509419,-81.35703407,70332317,"small","brown","medium","blue","round",2,25344.5675770605
2021-03-01,24.59702833,-81.60164667,70404122,"medium","blue","large","blue","slender",7,21524.8800594372
2021-03-01,24.59700575,-81.6016392,70645459,"medium","blue","medium","blue","n/a",7,21525.0154130136
2021-01-06,25.01489971,-80.52885443,70664107,"large","brown","n/a","n/a","n/a",8,26255.4237592995
2021-03-06,25.79223667,-80.1451555,70688430,"medium","brown","n/a","n/a","n/a",6,6940.03718882361
2020-10-16,25.14678883,-80.39463833,71039150,"medium","brown","n/a","n/a","n/a",8,6691.7086498416
2021-03-02,25.37929444,-80.24234444,71279500,"large","white","n/a","n/a","n/a",8,23547.384212478
2021-03-18,24.72698748,-81.02300299,71515453,"large","brown","n/a","n/a","n/a",2,8628.68754724053
2021-03-21,27.5032632,-82.67061844,71698465,"large","blue","n/a","n/a","n/a",10,28969.2592915416
2021-03-15,24.7033979,-81.1090766,71833838,"medium","blue","small","blue","round",2,885.468892901963
2021-04-04,24.70338954,-81.1119297,72881609,"large","brown","medium","blue","round",2,1009.57669353191
2021-03-26,27.48948333,-82.68508833,72970632,"medium","brown","small","brown","slender",10,30721.386127702
2021-04-05,25.00715555,-80.533195,73041164,"medium","blue","n/a","n/a","n/a",8,27208.2097197174
2021-04-05,24.56346719,-81.72872555,73193357,"medium","brown","n/a","n/a","n/a",7,8159.45978914223
2021-04-07,24.68616,-81.44776697,73234614,"medium","brown","medium","blue","slender",2,34624.8970508201
2015-10-27,21.59746762,-88.17434723,73377946,"small","brown","medium","blue","slender",7,730044.853095578
2021-03-30,25.07858883,-80.46140833,73447735,"small","brown","small","white","slender",8,16543.1899690906
2021-03-30,25.07858883,-80.46140833,73447762,"medium","white","small","white","round",8,16543.1899690906
2021-04-09,24.56503823,-81.72990568,73507216,"medium","blue","n/a","n/a","n/a",7,8074.24893089632
2021-04-09,24.56503823,-81.72990568,73507224,"medium","white","n/a","n/a","n/a",7,8074.24893089632
2021-04-09,24.56503823,-81.72990568,73507226,"large","blue","n/a","n/a","n/a",7,8074.24893089632
2021-04-09,24.5646043,-81.72973282,73507229,"medium","white","n/a","n/a","n/a",7,8082.10121494781
2021-04-09,24.56503823,-81.72990568,73507237,"medium","white","n/a","n/a","n/a",7,8074.24893089632
2021-01-23,26.93508339,-82.36079407,74261595,"large","white","medium","blue","slender",3,58224.8419990575
2019-09-20,24.65490438,-81.3031201,74313637,"medium","brown","medium","blue","slender",1,70293.7971223537
2021-04-18,24.7033672,-81.10896557,74419994,"large","blue","n/a","n/a","n/a",2,885.508692416969
2021-04-11,25.124614,-80.40210161,75366805,"large","brown","small","brown","round",8,9270.17417707137
2021-04-27,25.94591842,-81.74162324,75431663,"large","n/a","small","blue","slender",9,55919.0113854329
2021-03-31,25.10987068,-80.42200272,75439049,"medium","brown","n/a","n/a","n/a",8,11553.4864755388
2020-11-30,24.57175463,-81.73224572,75707967,"medium","brown","n/a","n/a","n/a",2,65184.1022830936
2021-04-30,25.712055,-80.16358883,76554962,"medium","n/a","n/a","n/a","n/a",6,2195.06031777796
2021-04-06,27.65867772,-82.7365629,77079344,"small","n/a","large","blue","slender",10,15669.5329596463
2021-05-07,25.49301601,-80.3581226,77761661,"medium","brown","medium","blue","slender",8,32271.4399766415
2021-05-14,24.70545386,-81.0885483,78743190,"medium","brown","n/a","n/a","n/a",2,1917.53015845372
2021-05-16,24.9129859,-80.64446325,79073737,"large","n/a","small","blue","slender",1,30012.2693517437
2021-05-24,25.36795489,-80.24427842,80185529,"large","brown","small","blue","round",8,22396.443828615
2021-05-24,25.36842022,-80.24472903,80185531,"medium","n/a","small","blue","round",8,22412.8017715963
2021-05-28,25.08266117,-80.44828,80679154,"medium","brown","n/a","n/a","n/a",8,15468.4723850104
